5,5,3,2,21,0,1,28,23.0,7.0,248,1,0,0.0,7,10.0,7.0,0
1,1,0,1,1,0,0,0,8.0,2.0,6,0,0,0.0,2,5.0,2.0,0
4,1,1,3,3,0,1,0,28.0,3.0,0,1,0,0.0,3,12.0,9.0,0
1,1,1,0,6,0,1,0,36.0,4.0,0,1,1,0.0,3,9.0,10.0,0
4,2,1,3,15,0,1,0,32.0,6.0,18,0,0,0.0,6,17.0,8.0,0
3,2,1,2,1,0,2,1,8.0,2.0,5,2,0,0.0,1,4.0,2.0,0
0,1,0,0,0,0,2169,0,0.0,0.0,0,1,0,2168.0,0,0.0,0.0,28
3,2,1,2,3,0,3,0,15.0,3.0,8,3,0,0.0,3,8.0,3.0,0
2,3,0,2,6,0,0,5,12.0,4.0,14,0,0,0.0,3,7.0,4.0,0
3,1,1,2,1,0,2,0,15.0,2.0,6,2,0,0.0,2,7.0,3.0,0
7,2,1,7,120,7,6,3,158.0,16.0,20,6,3,0.0,9,60.0,36.0,1
11,2,1,10,55,0,9,5,172.0,11.0,50,7,9,0.0,2,106.0,60.0,0
5,4,1,4,78,0,2,62,51.0,13.0,55,2,0,0.0,8,24.0,16.0,0
13,3,1,12,78,0,5,0,130.0,13.0,21,5,5,0.0,7,61.0,20.0,0
6,3,1,5,55,0,11,15,210.0,11.0,36,11,2,0.0,9,128.0,76.0,0
5,2,1,4,1,0,1,6,18.0,2.0,11,0,0,1.0,2,9.0,5.0,0
0,1,0,0,0,0,81,0,0.0,0.0,0,1,0,80.0,0,0.0,0.0,0
10,2,1,9,66,0,19,11,245.0,12.0,13,18,5,0.0,4,83.0,36.0,3
8,1,1,7,6,0,1,0,42.0,4.0,0,1,1,0.0,1,21.0,8.0,0
12,2,4,8,28,0,1,0,36.0,8.0,20,0,0,0.0,8,36.0,10.0,0
12,4,1,11,120,0,9,0,252.0,16.0,32,9,5,0.0,11,88.0,29.0,0
12,1,3,10,21,0,4,0,82.0,7.0,0,4,0,0.0,2,28.0,11.0,0
11,2,0,11,1,0,1,1,34.0,2.0,14,1,0,0.0,0,28.0,7.0,0
17,2,0,17,21,0,2,1,123.0,7.0,19,1,3,0.0,1,102.0,30.0,1
6,1,6,0,0,0,11,0,0.0,1.0,6,0,0,11.0,1,1.0,0.0,1
