17,3,10,7,55,0,2,0,170.0,11.0,44,2,0,0.0,11,59.0,29.0,1
34,1,9,27,2415,0,60,0,829.0,70.0,9,25,11,19.0,0,263.0,177.0,2
179,1,174,5,120,0,6,0,138.0,16.0,18,5,0,1.0,16,99.0,46.0,0
5,1,1,4,3,0,7,0,40.0,3.0,11,7,0,0.0,3,12.0,10.0,0
5,1,0,5,0,0,0,0,19.0,1.0,10,0,0,0.0,1,7.0,3.0,0
128,1,122,6,465,0,11,0,240.0,31.0,18,3,4,7.0,27,72.0,66.0,0
0,2,0,0,0,0,1,2,4.0,1.0,19,0,0,1.0,1,1.0,1.0,0
1,2,0,1,21,0,8,6,345.0,7.0,35,8,6,0.0,1,32.0,51.0,0
6,1,4,2,21,0,18,0,44.0,7.0,18,4,0,1.0,7,20.0,13.0,1
16,2,13,3,231,3,16,0,182.0,22.0,41,0,0,0.0,20,57.0,60.0,0
23,1,14,9,66,0,6,0,182.0,12.0,9,6,4,0.0,8,120.0,37.0,0
5,1,2,3,1,0,2,0,13.0,2.0,9,2,0,0.0,2,5.0,3.0,0
2,2,0,2,1,0,2,0,6.0,2.0,15,1,0,0.0,2,5.0,2.0,0
4,1,2,3,10,0,2,0,20.0,5.0,9,2,0,0.0,4,11.0,6.0,0
8,1,0,8,1,0,1,0,40.0,2.0,9,0,1,0.0,1,26.0,9.0,0
2,1,2,0,1,1,0,0,0.0,2.0,9,0,0,0.0,0,2.0,0.0,0
65,3,57,8,36,2,2,0,61.0,9.0,37,1,1,1.0,8,30.0,18.0,0
4,2,1,3,28,0,8,0,86.0,8.0,24,0,0,0.0,7,34.0,16.0,0
6,1,5,1,45,0,9,0,54.0,10.0,9,1,0,8.0,7,24.0,13.0,0
4,1,2,2,1,0,6,0,76.0,2.0,9,0,0,6.0,2,8.0,15.0,1
8,4,0,8,3,0,0,13,39.0,3.0,51,0,0,0.0,2,33.0,10.0,0
3,3,0,3,1,0,1,1,14.0,2.0,16,1,0,0.0,2,10.0,4.0,0
8,3,1,7,78,2,9,0,107.0,13.0,17,4,3,0.0,6,44.0,33.0,0
6,1,2,4,1,0,0,0,44.0,2.0,9,0,0,0.0,2,18.0,10.0,0
3,3,1,2,10,3,6,1,55.0,5.0,16,6,0,0.0,3,15.0,13.0,1
2,4,0,2,1,0,0,2,7.0,2.0,44,0,0,0.0,2,4.0,2.0,0
9,2,5,4,105,4,3,1,73.0,15.0,30,3,0,0.0,9,64.0,24.0,0
1,2,0,1,0,6,0,0,3.0,1.0,11,0,0,0.0,1,2.0,1.0,0
74,1,69,5,153,7,2,0,64.0,18.0,9,0,0,1.0,17,35.0,18.0,1
4,1,1,3,1,0,0,0,34.0,2.0,10,0,0,0.0,2,15.0,5.0,0
11,1,2,9,3,0,1,0,56.0,3.0,10,1,0,0.0,2,25.0,10.0,0
14,2,1,13,3,0,6,0,130.0,3.0,11,2,0,4.0,2,35.0,18.0,3
4,3,1,3,1,0,1,1,19.0,2.0,16,0,0,1.0,2,6.0,4.0,0
3,4,1,2,3,0,0,15,9.0,3.0,80,0,0,0.0,1,6.0,4.0,0
11,3,4,7,66,0,2,0,144.0,12.0,44,2,0,0.0,12,34.0,21.0,0
7,3,1,6,3,0,0,12,39.0,3.0,46,0,0,0.0,2,27.0,6.0,0
2,1,2,0,10,1,0,0,0.0,5.0,9,0,0,0.0,0,5.0,0.0,0
4,2,0,4,1,0,2,14,35.0,2.0,15,2,0,0.0,2,12.0,6.0,0
23,1,3,20,15,1,5,0,87.0,6.0,10,0,1,1.0,4,41.0,7.0,0
1,1,1,0,0,0,0,0,3.0,1.0,27,0,0,0.0,1,1.0,1.0,0
