0,5,0,1,0,1,2,39,1,2,5,0.95,20,0,2,40,2,0,0,1,3,1.6,1,7,2.2,1,2.4,1,4,0.875,0,0,0,1,0,0,1,0,0,0
0,6,0,1,0,0,2,22,4,15,36,0.08,130,0,2,89,2,1,3,2,21,1.818182,1,26,2.393939,1,31361.09091,1,4,0.473684,0,0,0,0.553191,0,0,3,0,3,1
0,0,0,0,0,0,0,22,1,0,0,5.5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.333333,0,1,0,1,1,0,1,1,0,0
0,4,0,1,0,0,1,29,3,3,3,0.35,32,0,2,71,2,0,7,2,4,2,0,5,1.75,1,1.375,1,1,0.416667,0,1,0,1,1,0,1,1,0,0
5,24,2,2,5,4,5,110,4,4,25,0.2,306,3,6,88,1,0,27,2,16,4.52381,1,61,10.380952,1,101.809524,1,7,2.037037,0,3,6,0.261104,0.6,0,7,3,6,0
0,5,0,1,0,0,1,44,1,10,3,0.57,45,0,1,84,2,0,5,1,10,3.2,0,5,2.3,1,1.4,1,2,0.666667,0,0,0,0.439716,0,0,4,0,2,0
1,21,0,1,0,2,3,32,1,3,7,0.25,58,5,3,65,1,0,2,1,7,4.2,2,20,8.4,1,4.2,1,2,1.142857,0,0,0,0.412371,0,0,4,0,2,0
3,14,0,1,3,1,3,32,1,1,16,0.21,97,0,3,83,1,0,3,2,6,3.25,1,24,6.25,1,34.375,1,2,1,0,0,0,0.507177,0,0,2,0,0,0
1,10,0,1,0,3,1,31,1,0,1,0.58,45,3,1,0,2,0,8,1,6,2.666667,1,15,11.333333,9,1,1,0,0,0,0,0,1,0,0,1,0,0,0
1,1,1,1,0,0,1,30,4,0,1,3,6,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,32,4,0,0,3.2,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,9,0,1,0,4,2,59,1,4,4,0.94,30,1,2,50,1,2,0,1,6,4.2,3,9,5,1,2.4,1,2,1.375,0,1,3,0.956835,1,0,1,1,1,0
1,11,1,2,9,6,3,95,1,1,7,0.65,74,0,3,95,1,0,0,1,6,3.8,0,10,4.7,1,3.1,1,3,1.692308,0,1,1,0.400749,1,0,5,1,4,0
